Hechos del mes,Dialogo,Actualización,Estado,Motivo de fusión,Motivo de pase a latente,Motivo de pase a inactivo,Forma de resolución,NombreReportePDFModificado,FechaReporte,NumeroEdicion,GrupoID
,,,Activo,,,,,agosto 2005 - conflictos_sociales18.pdf,31/08/2005,18,Grupo_278
. El día 15 de agosto se instaló la Mesa de Minería que busca fortalecer la institucionalidad en la Región y el desarrollo de la región.,,,Activo,,,,,setiembre 2005 - conflictos_sociales19.pdf,30/09/2005,19,Grupo_278
No se registraron acciones de diálogo en el mes de diciembre.,HAY DIÁLOGO,,Activo,,,,,reporte-diciembre.pdf,31/12/2009,70,Grupo_278
La comunidad campesina de Fuerabamba y sus 13 anexos se encuentran en evaluación el planteamiento de reasentamiento que Xstrata ha propuesto.,HAY DIÁLOGO,,Activo,,,,,conflictos_reporte_58.pdf,31/12/2008,58,Grupo_278
No se registraron acciones de diálogo en el mes de octubre.,HAY DIÁLOGO,,Activo,,,,,Conflictos-Reporte-68.pdf,31/10/2009,68,Grupo_278
"El 21 de octubre se procedió a la instalación de la asamblea del nuevo Fondo Social Las Bambas, reemplazando al desactivado Fideicomiso social Las Bambas.",HAY DIÁLOGO,,Activo,,,,,reporte-conflictos-56.pdf,31/10/2008,56,Grupo_278
". El 25 y 26 de octubre se desarrollo el III foro regional sobre minería en apurimac, evento realizado en Abancay, que congrego la participación de diversas empresas mineras, autoridades regionales, provinciales y delegados de comunidades campesinas. Tambien estuvieron presentes funcionarios de otros departamentos como Puno y Cusco del Ministerio de Energia y Minas. Entre sus conclusiones señalan que el evento constituye un puente que permitirá hallar puntos de consenso entre las compañías extractoras de minerales y las comunidades, a través del dialogo. En este foro participaron las organizaciones campesinas de las provincias de Cotabambas y Aymaraes, que estuvieron como ponentes y panelistas. Para la primera semana de noviembre los representantes de la Federación Campesina de Cotabambas tienen previsto realizar una conferencia de prensa en la ciudad de Abancay, para dar a conocer la posición respecto al informe que realizo el Ministro de Energía y Minas y algunos Vice Ministros de las carteras de Agricultura, Educacion, Salud y un representante del Ministerio de Transportes, presentado el 06 de setiembre 2007 que reafirma el papel de PROINVERSION como administrador del Comité del Fideicomiso de las Bambas.",,,Activo,,,,,conflictos_sociales44-CS.pdf,31/10/2007,44,Grupo_278
"El FOSBAM viene financiando la 2da etapa del proyecto “Fortalecimiento de Capacidades en Manejo de Recursos Naturales” – Chaninchasun, que en su primera etapa fue financiado por la Empresa Minera Xstrata y el Ministerio de Agricultura.",HAY DIÁLOGO,,Activo,,,,,reporte-66.pdf,31/08/2009,66,Grupo_278
. La empresa minera Xstrata realiza gestiones para reubicar a los comuneros en terrenos que ha comprado en la provincia de Chumbivilcas de la región Cusco. Esto ha generado rechazo y malestar en la población.,HAY DIÁLOGO,,Activo,,,,,conflictos_sociales54.pdf,31/08/2008,54,Grupo_278
". El Gobierno Regional de Apurímac designó el 12 de agosto último a tres de sus consejeros regionales para conformar una comisión destinada a investigar el manejo que efectúa la Agencia de Promoción de la Inversión Privada (PROINVERSIÓN) sobre el fideicomiso social del proyecto minero Las Bambas. El grupo de trabajo está conformado por los consejeros Rildo Guillén Collado (Cotabambas), Giannina Soto Villar (Aymaraes) y Fredy Sucñer Inquil (Abancay) quienes tendrán un plazo de 15 días hábiles para rendir un informe sobre la administración del fideicomiso para la ejecución de proyectos mineros en las provincias de Cotabambas y Grau. Por otro lado, la Federacion Provincial de Comunidades Campesinas de Cotabambas anunció una reunión con la comisión de alto nivel el 6 de septiembre, después de haberse postergado la prevista para el 17 de agosto en Challhuahuacho, tras el terremoto que ocurrió en la Costa.",,,Activo,,,,,conflictos_sociales42.pdf,31/08/2007,42,Grupo_278
